time,tavg,tmin,tmax,prcp,,,
01-01-1990,7.2,,18.1,0,,,
01-02-1990,10.5,,17.2,0,,,
01-03-1990,10.2,1.8,18.6,,,,
01-04-1990,9.1,,19.3,0,,,
01-05-1990,13.5,,23.8,0,,,
01-06-1990,11.5,5.9,21.4,0,,,
01-07-1990,14.2,5.4,23.6,0,,,
01-08-1990,17.1,,24.6,0,,,
01-09-1990,11.1,,24.6,0,,,
01-10-1990,14.8,4.1,23.6,0,,,
01-11-1990,12.9,5.1,23.6,0,,,
01-12-1990,12.5,7.3,21.1,0,,,
01-13-1990,15.3,,,0,,,
01-14-1990,17.3,6.9,28.2,0,,,
01-15-1990,16.5,9,24.9,0,,,
01-16-1990,15.8,,24.9,0,,,
01-17-1990,17.6,,26.9,0,,,
01-18-1990,19.9,13,29.5,0,,,
01-19-1990,20.5,13,29.5,,,,
01-20-1990,17.5,10.7,28.7,0,,,
01-21-1990,18.6,,26.4,0,,,
01-22-1990,20,10.8,28.3,0,,,
01-23-1990,18.8,13.2,28.9,0,,,
01-24-1990,18.4,,28.9,0,,,
01-25-1990,18.9,,26.2,,,,
01-26-1990,18.9,,27.9,0,,,
01-27-1990,18.9,9.8,29.9,0,,,
01-28-1990,20.7,,28.8,0,,,
01-29-1990,21.4,,28.8,0,,,
01-30-1990,15.6,,26.2,0,,,
01-31-1990,17.1,10,26.2,0,,,
02-01-1990,17.5,,27.7,0,,,
02-02-1990,15.2,,27.7,0,,,
02-03-1990,,,,,,,
02-04-1990,17.4,,24.6,0,,,
02-05-1990,16.2,9.2,,23.9,,,
02-06-1990,15.2,,,0,,,
02-07-1990,20.7,10.1,25.9,0,,,
02-08-1990,20.7,12.9,26.1,,,,
02-09-1990,20.3,,27.8,0,,,
02-10-1990,19.9,,27.8,0,,,
02-11-1990,20.7,13,29,0,,,
02-12-1990,20,12.8,27.9,,,,
02-13-1990,17,,19.7,,,,
02-14-1990,18,,23.4,0,,,
02-15-1990,16.8,10.5,24.1,0,,,
02-16-1990,16.6,10.1,23.8,0,,,
02-17-1990,17.5,8.3,25.3,0,,,
02-18-1990,16,13.2,25.3,12.7,,,
02-19-1990,17.1,12.1,23.7,0,,,
02-20-1990,17.3,11.5,,0,,,
02-21-1990,17.5,10.4,24.9,0,,,
02-22-1990,17.6,,25.3,0,,,
02-23-1990,17.5,9.5,26.6,0,,,
02-24-1990,16.5,,26.6,,,,
02-25-1990,17.8,12.5,23.3,7.1,,,
02-26-1990,19.5,,25.7,2.3,,,
02-27-1990,17.4,14.9,,0,,,
02-28-1990,18.3,14.3,25.8,7.4,,,
03-01-1990,17.5,,25.8,0,,,
03-02-1990,15.5,,24.9,0,,,
03-03-1990,16.8,,23.7,0,,,
03-04-1990,17,8.3,25.8,0,,,
03-05-1990,18.8,,25.9,,,,
03-06-1990,18.2,,27,0,,,
03-07-1990,18.6,11.3,27.4,0,,,
03-08-1990,20.2,10.3,29,0,,,
03-09-1990,22.7,11.1,30.1,0,,,
03-10-1990,21,,31.1,0,,,
03-11-1990,23.7,,30.4,0,,,
03-12-1990,21.8,14.6,30.4,,,,
03-13-1990,22.3,12.9,30.3,0,,,
03-14-1990,22.5,,30.3,0,,,
03-15-1990,22.8,15.1,31,0,,,
03-16-1990,25.2,15.2,32,,,,
03-17-1990,25.3,16.5,33.1,0,,,
03-18-1990,26.4,,34.1,0,,,
03-19-1990,26,17.4,36.2,0,,,
03-20-1990,26.3,17.8,36.2,0,,,
03-21-1990,25.8,17.5,36.1,0,,,
03-22-1990,26.4,18.9,35.6,0,,,
03-23-1990,24.7,,35.4,0.8,,,
03-24-1990,20.7,,29.2,0,,,
03-25-1990,21.2,10.2,30.7,0,,,
